area_code,area_name,indicator,group,measure,value
E06000031,Peterborough,Voted leave in EU referendum,NA,Percentage,60.89
E06000032,Luton,Voted leave in EU referendum,NA,Percentage,56.55
E06000033,Southend-on-Sea,Voted leave in EU referendum,NA,Percentage,58.08
E06000034,Thurrock,Voted leave in EU referendum,NA,Percentage,72.28
E06000055,Bedford,Voted leave in EU referendum,NA,Percentage,51.78
E06000056,Central Bedfordshire,Voted leave in EU referendum,NA,Percentage,56.13
E07000008,Cambridge,Voted leave in EU referendum,NA,Percentage,26.15
E07000009,East Cambridgeshire,Voted leave in EU referendum,NA,Percentage,50.92
E07000010,Fenland,Voted leave in EU referendum,NA,Percentage,71.39
E07000011,Huntingdonshire,Voted leave in EU referendum,NA,Percentage,54.24
E07000012,South Cambridgeshire,Voted leave in EU referendum,NA,Percentage,39.77
E07000066,Basildon,Voted leave in EU referendum,NA,Percentage,68.62
E07000067,Braintree,Voted leave in EU referendum,NA,Percentage,61.13
E07000068,Brentwood,Voted leave in EU referendum,NA,Percentage,59.15
E07000069,Castle Point,Voted leave in EU referendum,NA,Percentage,72.7
E07000070,Chelmsford,Voted leave in EU referendum,NA,Percentage,52.83
E07000071,Colchester,Voted leave in EU referendum,NA,Percentage,53.6
E07000072,Epping Forest,Voted leave in EU referendum,NA,Percentage,62.69
E07000073,Harlow,Voted leave in EU referendum,NA,Percentage,68.1
E07000074,Maldon,Voted leave in EU referendum,NA,Percentage,62.58
E07000075,Rochford,Voted leave in EU referendum,NA,Percentage,66.61
E07000076,Tendring,Voted leave in EU referendum,NA,Percentage,69.5
E07000077,Uttlesford,Voted leave in EU referendum,NA,Percentage,50.68
E07000095,Broxbourne,Voted leave in EU referendum,NA,Percentage,66.26
E07000096,Dacorum,Voted leave in EU referendum,NA,Percentage,50.67
E07000098,Hertsmere,Voted leave in EU referendum,NA,Percentage,50.84
E07000099,North Hertfordshire,Voted leave in EU referendum,NA,Percentage,45.63
E07000102,Three Rivers,Voted leave in EU referendum,NA,Percentage,51.27
E07000103,Watford,Voted leave in EU referendum,NA,Percentage,50.27
E07000143,Breckland,Voted leave in EU referendum,NA,Percentage,64.22
E07000144,Broadland,Voted leave in EU referendum,NA,Percentage,54.37
E07000145,Great Yarmouth,Voted leave in EU referendum,NA,Percentage,71.5
E07000146,King's Lynn and West Norfolk,Voted leave in EU referendum,NA,Percentage,66.4
E07000147,North Norfolk,Voted leave in EU referendum,NA,Percentage,58.91
E07000148,Norwich,Voted leave in EU referendum,NA,Percentage,43.76
E07000149,South Norfolk,Voted leave in EU referendum,NA,Percentage,51.69
E07000200,Babergh,Voted leave in EU referendum,NA,Percentage,54.19
E07000201,Forest Heath,Voted leave in EU referendum,NA,Percentage,64.97
E07000202,Ipswich,Voted leave in EU referendum,NA,Percentage,58.26
E07000203,Mid Suffolk,Voted leave in EU referendum,NA,Percentage,55.23
E07000204,St Edmundsbury,Voted leave in EU referendum,NA,Percentage,56.62
E07000205,Suffolk Coastal,Voted leave in EU referendum,NA,Percentage,53
E07000206,Waveney,Voted leave in EU referendum,NA,Percentage,62.9
E07000240,St Albans,Voted leave in EU referendum,NA,Percentage,37.29
E07000241,Welwyn Hatfield,Voted leave in EU referendum,NA,Percentage,52.99
E07000242,East Hertfordshire,Voted leave in EU referendum,NA,Percentage,50.36
E07000243,Stevenage,Voted leave in EU referendum,NA,Percentage,59.25
E06000015,Derby,Voted leave in EU referendum,NA,Percentage,57.22
E06000016,Leicester,Voted leave in EU referendum,NA,Percentage,48.92
E06000017,Rutland,Voted leave in EU referendum,NA,Percentage,50.57
E06000018,Nottingham,Voted leave in EU referendum,NA,Percentage,50.84
E07000032,Amber Valley,Voted leave in EU referendum,NA,Percentage,60.28
E07000033,Bolsover,Voted leave in EU referendum,NA,Percentage,70.83
E07000034,Chesterfield,Voted leave in EU referendum,NA,Percentage,60.04
E07000035,Derbyshire Dales,Voted leave in EU referendum,NA,Percentage,51.56
E07000036,Erewash,Voted leave in EU referendum,NA,Percentage,61.23
E07000037,High Peak,Voted leave in EU referendum,NA,Percentage,50.55
E07000038,North East Derbyshire,Voted leave in EU referendum,NA,Percentage,62.78
E07000039,South Derbyshire,Voted leave in EU referendum,NA,Percentage,60.35
E07000129,Blaby,Voted leave in EU referendum,NA,Percentage,59.47
E07000130,Charnwood,Voted leave in EU referendum,NA,Percentage,53.81
E07000131,Harborough,Voted leave in EU referendum,NA,Percentage,50.75
E07000132,Hinckley and Bosworth,Voted leave in EU referendum,NA,Percentage,60.33
E07000133,Melton,Voted leave in EU referendum,NA,Percentage,58.11
E07000134,North West Leicestershire,Voted leave in EU referendum,NA,Percentage,60.7
E07000135,Oadby and Wigston,Voted leave in EU referendum,NA,Percentage,54.58
E07000136,Boston,Voted leave in EU referendum,NA,Percentage,75.56
E07000137,East Lindsey,Voted leave in EU referendum,NA,Percentage,70.65
E07000138,Lincoln,Voted leave in EU referendum,NA,Percentage,56.94
E07000139,North Kesteven,Voted leave in EU referendum,NA,Percentage,62.26
E07000140,South Holland,Voted leave in EU referendum,NA,Percentage,73.59
E07000141,South Kesteven,Voted leave in EU referendum,NA,Percentage,59.93
E07000142,West Lindsey,Voted leave in EU referendum,NA,Percentage,61.82
E07000150,Corby,Voted leave in EU referendum,NA,Percentage,64.25
E07000151,Daventry,Voted leave in EU referendum,NA,Percentage,58.6
E07000152,East Northamptonshire,Voted leave in EU referendum,NA,Percentage,58.76
E07000153,Kettering,Voted leave in EU referendum,NA,Percentage,60.99
E07000154,Northampton,Voted leave in EU referendum,NA,Percentage,58.38
E07000155,South Northamptonshire,Voted leave in EU referendum,NA,Percentage,54.34
E07000156,Wellingborough,Voted leave in EU referendum,NA,Percentage,62.42
E07000170,Ashfield,Voted leave in EU referendum,NA,Percentage,69.84
E07000171,Bassetlaw,Voted leave in EU referendum,NA,Percentage,67.83
E07000172,Broxtowe,Voted leave in EU referendum,NA,Percentage,54.65
E07000173,Gedling,Voted leave in EU referendum,NA,Percentage,55.55
E07000174,Mansfield,Voted leave in EU referendum,NA,Percentage,70.86
E07000175,Newark and Sherwood,Voted leave in EU referendum,NA,Percentage,60.39
E07000176,Rushcliffe,Voted leave in EU referendum,NA,Percentage,42.45
E09000001,City of London,Voted leave in EU referendum,NA,Percentage,24.71
E09000002,Barking and Dagenham,Voted leave in EU referendum,NA,Percentage,62.44
E09000003,Barnet,Voted leave in EU referendum,NA,Percentage,37.77
E09000004,Bexley,Voted leave in EU referendum,NA,Percentage,62.95
E09000005,Brent,Voted leave in EU referendum,NA,Percentage,40.26
E09000006,Bromley,Voted leave in EU referendum,NA,Percentage,49.35
E09000007,Camden,Voted leave in EU referendum,NA,Percentage,25.06
E09000008,Croydon,Voted leave in EU referendum,NA,Percentage,45.71
E09000009,Ealing,Voted leave in EU referendum,NA,Percentage,39.6
E09000010,Enfield,Voted leave in EU referendum,NA,Percentage,44.18
E09000011,Greenwich,Voted leave in EU referendum,NA,Percentage,44.41
E09000012,Hackney,Voted leave in EU referendum,NA,Percentage,21.52
E09000013,Hammersmith and Fulham,Voted leave in EU referendum,NA,Percentage,29.98
E09000014,Haringey,Voted leave in EU referendum,NA,Percentage,24.43
E09000015,Harrow,Voted leave in EU referendum,NA,Percentage,45.37
E09000016,Havering,Voted leave in EU referendum,NA,Percentage,69.66
E09000017,Hillingdon,Voted leave in EU referendum,NA,Percentage,56.37
E09000018,Hounslow,Voted leave in EU referendum,NA,Percentage,48.94
E09000019,Islington,Voted leave in EU referendum,NA,Percentage,24.78
E09000020,Kensington and Chelsea,Voted leave in EU referendum,NA,Percentage,31.31
E09000021,Kingston upon Thames,Voted leave in EU referendum,NA,Percentage,38.39
E09000022,Lambeth,Voted leave in EU referendum,NA,Percentage,21.38
E09000023,Lewisham,Voted leave in EU referendum,NA,Percentage,30.14
E09000024,Merton,Voted leave in EU referendum,NA,Percentage,37.06
E09000025,Newham,Voted leave in EU referendum,NA,Percentage,47.16
E09000026,Redbridge,Voted leave in EU referendum,NA,Percentage,46.03
E09000027,Richmond upon Thames,Voted leave in EU referendum,NA,Percentage,30.71
E09000028,Southwark,Voted leave in EU referendum,NA,Percentage,27.19
E09000029,Sutton,Voted leave in EU referendum,NA,Percentage,53.72
E09000030,Tower Hamlets,Voted leave in EU referendum,NA,Percentage,32.54
E09000031,Waltham Forest,Voted leave in EU referendum,NA,Percentage,40.9
E09000032,Wandsworth,Voted leave in EU referendum,NA,Percentage,24.97
E09000033,Westminster,Voted leave in EU referendum,NA,Percentage,31.03
E06000001,Hartlepool,Voted leave in EU referendum,NA,Percentage,69.57
E06000002,Middlesbrough,Voted leave in EU referendum,NA,Percentage,65.48
E06000003,Redcar and Cleveland,Voted leave in EU referendum,NA,Percentage,66.19
E06000004,Stockton-on-Tees,Voted leave in EU referendum,NA,Percentage,61.73
E06000005,Darlington,Voted leave in EU referendum,NA,Percentage,56.18
E06000047,County Durham,Voted leave in EU referendum,NA,Percentage,57.55
E06000057,Northumberland,Voted leave in EU referendum,NA,Percentage,54.11
E08000021,Newcastle upon Tyne,Voted leave in EU referendum,NA,Percentage,49.3
E08000022,North Tyneside,Voted leave in EU referendum,NA,Percentage,53.4
E08000023,South Tyneside,Voted leave in EU referendum,NA,Percentage,62.05
E08000024,Sunderland,Voted leave in EU referendum,NA,Percentage,61.34
E08000037,Gateshead,Voted leave in EU referendum,NA,Percentage,56.85
E06000006,Halton,Voted leave in EU referendum,NA,Percentage,57.42
E06000007,Warrington,Voted leave in EU referendum,NA,Percentage,54.27
E06000008,Blackburn with Darwen,Voted leave in EU referendum,NA,Percentage,56.34
